i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,27.6,0.037525,0.643301,0.348119,1.250269,0.414958,M_Hermes,1.7,0.032028,0.000000,0.200024,deuteron,pi-,hermes
1,27.6,0.037525,0.643301,0.422971,1.250269,0.097694,M_Hermes,0.4,0.016821,0.000000,0.010787,deuteron,pi-,hermes
2,27.6,0.037525,0.643301,0.424812,1.250269,0.205721,M_Hermes,0.6,0.020743,0.000000,0.148288,deuteron,pi-,hermes
3,27.6,0.037525,0.643301,0.432335,1.250269,0.410660,M_Hermes,0.9,0.019706,0.000000,0.106219,deuteron,pi-,hermes
4,27.6,0.037525,0.643301,0.436690,1.250269,0.541077,M_Hermes,0.8,0.014511,0.000000,0.087097,deuteron,pi-,hermes
5,27.6,0.037525,0.643301,0.535925,1.250269,0.102727,M_Hermes,0.1,0.008874,0.000000,0.031984,deuteron,pi-,hermes
6,27.6,0.037525,0.643301,0.535536,1.250269,0.206425,M_Hermes,0.3,0.012398,0.000000,0.057297,deuteron,pi-,hermes
7,27.6,0.037525,0.643301,0.538157,1.250269,0.307061,M_Hermes,0.4,0.013176,0.000000,0.053359,deuteron,pi-,hermes
8,27.6,0.037525,0.643301,0.541700,1.250269,0.529075,M_Hermes,0.4,0.009078,0.000000,0.018703,deuteron,pi-,hermes
9,27.6,0.037525,0.643301,0.544607,1.250269,0.703851,M_Hermes,0.3,0.006280,0.000000,0.017025,deuteron,pi-,hermes
10,27.6,0.037525,0.643301,0.698516,1.250269,0.100537,M_Hermes,0.1,0.003663,0.000000,0.002314,deuteron,pi-,hermes
11,27.6,0.037525,0.643301,0.693075,1.250269,0.203871,M_Hermes,0.1,0.005986,0.000000,0.010814,deuteron,pi-,hermes
12,27.6,0.037525,0.643301,0.697010,1.250269,0.301762,M_Hermes,0.2,0.006093,0.000000,0.025158,deuteron,pi-,hermes
13,27.6,0.037525,0.643301,0.689711,1.250269,0.399822,M_Hermes,0.2,0.005711,0.000000,0.030472,deuteron,pi-,hermes
14,27.6,0.037525,0.643301,0.686029,1.250269,0.688781,M_Hermes,0.1,0.002941,0.000000,0.018080,deuteron,pi-,hermes
15,27.6,0.037525,0.643301,0.687894,1.250269,0.963715,M_Hermes,0.0,0.001301,0.000000,0.007529,deuteron,pi-,hermes
16,27.6,0.037525,0.643301,0.895262,1.250269,0.089599,M_Hermes,0.0,0.000801,0.000000,0.000448,deuteron,pi-,hermes
17,27.6,0.037525,0.643301,0.886131,1.250269,0.202723,M_Hermes,0.0,0.001224,0.000000,0.001450,deuteron,pi-,hermes
18,27.6,0.037525,0.643301,0.872864,1.250269,0.295906,M_Hermes,0.0,0.001389,0.000000,0.003054,deuteron,pi-,hermes
19,27.6,0.037525,0.643301,0.877196,1.250269,0.396251,M_Hermes,0.0,0.001694,0.000000,0.003263,deuteron,pi-,hermes
20,27.6,0.037525,0.643301,0.864274,1.250269,0.515624,M_Hermes,0.0,0.001064,0.000000,0.002345,deuteron,pi-,hermes
21,27.6,0.037525,0.643301,0.868451,1.250269,0.688529,M_Hermes,0.0,0.001084,0.000000,0.002305,deuteron,pi-,hermes
22,27.6,0.037525,0.643301,0.859515,1.250269,0.964025,M_Hermes,0.0,0.000573,0.000000,0.000851,deuteron,pi-,hermes
23,27.6,0.061028,0.479995,0.334710,1.517162,0.101264,M_Hermes,0.6,0.012978,0.000000,0.014540,deuteron,pi-,hermes
24,27.6,0.061028,0.479995,0.336080,1.517162,0.204552,M_Hermes,1.3,0.023509,0.000000,0.309118,deuteron,pi-,hermes
25,27.6,0.061028,0.479995,0.419131,1.517162,0.102396,M_Hermes,0.3,0.007755,0.000000,0.008247,deuteron,pi-,hermes
26,27.6,0.061028,0.479995,0.422114,1.517162,0.203830,M_Hermes,0.7,0.014240,0.000000,0.171954,deuteron,pi-,hermes
27,27.6,0.061028,0.479995,0.422372,1.517162,0.302997,M_Hermes,0.9,0.016640,0.000000,0.158226,deuteron,pi-,hermes
28,27.6,0.061028,0.479995,0.530534,1.517162,0.102954,M_Hermes,0.2,0.004816,0.000000,0.046084,deuteron,pi-,hermes
29,27.6,0.061028,0.479995,0.532020,1.517162,0.204267,M_Hermes,0.3,0.008766,0.000000,0.070477,deuteron,pi-,hermes
30,27.6,0.061028,0.479995,0.532496,1.517162,0.301622,M_Hermes,0.4,0.010192,0.000000,0.068743,deuteron,pi-,hermes
31,27.6,0.061028,0.479995,0.534386,1.517162,0.401022,M_Hermes,0.5,0.010645,0.000000,0.051301,deuteron,pi-,hermes
32,27.6,0.061028,0.479995,0.692656,1.517162,0.100878,M_Hermes,0.1,0.002161,0.000000,0.003690,deuteron,pi-,hermes
33,27.6,0.061028,0.479995,0.690488,1.517162,0.203593,M_Hermes,0.1,0.003672,0.000000,0.006784,deuteron,pi-,hermes
34,27.6,0.061028,0.479995,0.688804,1.517162,0.302733,M_Hermes,0.2,0.004390,0.000000,0.018329,deuteron,pi-,hermes
35,27.6,0.061028,0.479995,0.691268,1.517162,0.399841,M_Hermes,0.2,0.004669,0.000000,0.028511,deuteron,pi-,hermes
