Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.0816
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0816	 0.0905
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0905	 0.0992
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0992	 0.1082
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1082	 0.1178
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1178	 0.1295
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1295	 0.1435
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1435	 0.1645
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1645	 0.2566
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2566	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0720
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0720	 0.0794
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0794	 0.0861
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0861	 0.0924
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0924	 0.0983
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0983	 0.1042
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1042	 0.1100
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1100	 0.1161
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1161	 0.1224
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1224	 0.1292
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1292	 0.1368
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1368	 0.1450
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1450	 0.1549
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1549	 0.1666
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1666	 0.1821
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1821	 0.2065
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2065	 0.2815
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2815	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.0764
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0764	 0.0885
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0885	 0.1002
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1002	 0.1118
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1118	 0.1246
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1246	 0.1406
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1406	 0.1615
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1615	 0.1908
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1908	 0.2522
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.2522	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 0.8	 0.0000	 0.0967
1.0	 2.0	 0.30	 0.35	 0.6	 0.8	 0.0967	 0.1297
1.0	 2.0	 0.30	 0.35	 0.6	 0.8	 0.1297	 0.1974
1.0	 2.0	 0.30	 0.35	 0.6	 0.8	 0.1974	 0.7000
1.0	 2.0	 0.30	 0.35	 0.8	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.0869
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0869	 0.0984
