Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1214
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1214	 0.1559
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1559	 0.2115
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2115	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.1237
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1237	 0.1508
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1508	 0.1771
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1771	 0.2115
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2115	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.1586
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1586	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1320
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1320	 0.1846
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1846	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1270
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1270	 0.1570
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1570	 0.1896
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1896	 0.2574
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.2574	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.1602
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1602	 0.7000
1.0	 2.0	 0.35	 0.40	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1468
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1468	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1310
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1310	 0.1679
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1679	 0.2174
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2174	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.1633
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1633	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1703
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1703	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1399
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1399	 0.1892
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1892	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1704
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1704	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.2233
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.2233	 0.7000
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.1536
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1536	 0.2509
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.2509	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.1813
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1813	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.1456
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1456	 0.2072
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.2072	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.2202
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.2202	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1627
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1627	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.8	 0.0000	 0.1937
1.0	 2.0	 0.60	 0.65	 0.4	 0.8	 0.1937	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.2123
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.2123	 0.7000
1.0	 2.0	 0.65	 0.70	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.2304
2.0	 3.0	 0.30	 0.35	 0.0	 0.4	 0.2304	 0.2891
2.0	 3.0	 0.30	 0.35	 0.0	 0.4	 0.2891	 0.7000
2.0	 3.0	 0.30	 0.35	 0.4	 1.0	 0.0000	 0.3762
2.0	 3.0	 0.30	 0.35	 0.4	 1.0	 0.3762	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.2433
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.2433	 0.3402
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.3402	 0.7000
2.0	 3.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.3832
2.0	 3.0	 0.35	 0.40	 0.4	 1.6	 0.3832	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.2676
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.2676	 0.7000
2.0	 3.0	 0.40	 0.45	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.2999
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.2999	 0.7000
2.0	 3.0	 0.45	 0.50	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 0.6	 0.0000	 0.2836
2.0	 3.0	 0.50	 0.55	 0.0	 0.6	 0.2836	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 0.6	 0.0000	 0.3682
2.0	 3.0	 0.55	 0.60	 0.0	 0.6	 0.3682	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.30	 0.35	 0.0	 0.6	 0.0000	 0.4012
3.0	 4.0	 0.30	 0.35	 0.0	 0.6	 0.4012	 0.7000
3.0	 4.0	 0.35	 0.40	 0.0	 0.6	 0.0000	 0.4319
3.0	 4.0	 0.35	 0.40	 0.0	 0.6	 0.4319	 0.7000
3.0	 4.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.30	 0.35	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
